date,return
2026-02-01,0.0300298180
2026-02-02,0.0596571643
2026-02-03,0.0463790101
2026-02-04,0.0648303506
2026-02-05,0.0952077302
2026-02-06,-0.0008212566
2026-02-07,0.0162126354
2026-02-08,0.0135321394
2026-02-09,0.0052227477
2026-02-10,-0.0004168800
2026-02-11,-0.0183244807
2026-02-12,0.0181190872
2026-02-13,0.0073584080
2026-02-14,0.0026869506
2026-02-15,-0.0220687538
2026-02-16,0.0171217110
2026-02-17,0.0068978544
2026-02-18,0.0122825625
2026-02-19,0.0108384102
2026-02-20,0.0187419821
2026-02-21,0.0071199950
2026-02-22,-0.0015806769
2026-02-23,-0.0178519543
2026-02-24,0.0068421723
2026-02-25,-0.0434305244
2026-02-26,-0.0083784123
2026-02-27,-0.0048004869
2026-02-28,0.0025485941
2026-03-01,-0.0022061144
2026-03-02,0.0266584701
2026-03-03,0.0212466537
2026-03-04,-0.0301840483
2026-03-05,0.0060561757
2026-03-06,-0.0008958782
2026-03-07,0.0031570663
2026-03-08,0.0032501723
2026-03-09,0.0124169625
2026-03-10,0.0134137178
2026-03-11,0.0179632281
2026-03-12,-0.0073181814
2026-03-13,-0.0099460762
2026-03-14,0.0002809055
2026-03-15,-0.0065591416
2026-03-16,0.0131803823
2026-03-17,0.0234761464
2026-03-18,-0.0240767481
2026-03-19,0.0109060736
2026-03-20,0.0182034970
2026-03-21,-0.0016556109
2026-03-22,0.0084488280
2026-03-23,0.0133573496
2026-03-24,0.0102822665
2026-03-25,0.0107878668
2026-03-26,-0.0066878307
2026-03-27,0.0037562213
2026-03-28,-0.0065760541
2026-03-29,0.0059169885
2026-03-30,0.0042090854
2026-03-31,0.0149547719
2026-04-01,0.0023124100
2026-04-02,0.0071660255
2026-04-03,0.0013467181
2026-04-04,-0.0012846810
2026-04-05,-0.0029443885
2026-04-06,0.0191496310
2026-04-07,-0.0039307074
2026-04-08,0.0095476859
2026-04-09,0.0076942240
2026-04-10,0.0141380882
2026-04-11,-0.0123676476
2026-04-12,0.0036648633
2026-04-13,0.0013971053
2026-04-14,0.0106492144
2026-04-15,0.0131078908
2026-04-16,0.0043673847
2026-04-17,0.0200997512
2026-04-18,0.0056491386
2026-04-19,0.0043673084
2026-04-20,0.0025142010
2026-04-21,0.0015791089
2026-04-22,-0.0078077009
2026-04-23,-0.0012860029
2026-04-24,0.0028671972
2026-04-25,0.0019846996
2026-04-26,-0.0010067096
2026-04-27,0.0007458994
2026-04-28,0.0026297365
2026-04-29,0.0023647928
2026-04-30,0.0139041684
2026-05-01,-0.0024889459
2026-05-02,0.0035499041
2026-05-03,0.0021095319
2026-05-04,-0.0002950746
2026-05-05,0.0038057837
2026-05-06,0.0008248299
2026-05-07,0.0057209014
2026-05-08,0.0017885973
2026-05-09,0.0031482317
2026-05-10,-0.0024253753
2026-05-11,0.0037489885
2026-05-12,0.0015918900
2026-05-13,0.0051136499
2026-05-14,-0.0000900305
2026-05-15,0.0029797687
2026-05-16,-0.0049424452
2026-05-17,0.0091050436
2026-05-18,-0.0050204486
2026-05-19,0.0057696194
2026-05-20,0.0040777160
2026-05-21,0.0019259215
2026-05-22,-0.0002963253
2026-05-23,0.0021548240
2026-05-24,0.0018268755
2026-05-25,-0.0000776545
2026-05-26,-0.0009445049
2026-05-27,-0.0000549409
2026-05-28,-0.0040807282
2026-05-29,-0.0094172173
2026-05-30,-0.0019701040
2026-05-31,0.0021668265
